Job,Hours_Class,Hours_Studying,Life_Factor,Sleep_Hours,Work_Hours,Parent_Guardian,Burnout_Scale
Yes,15,10,financial stress,5,20,Yes,4
No,18,12,none,7,0,Yes,2
Yes,12,8,family issues,6,15,No,3
Yes,20,15,health problems,4,25,Yes,5
No,22,10,relationship stress,6,0,No,3
Yes,16,7,none,8,10,Yes,2
No,14,5,homesickness,7,0,Yes,2
Yes,18,12,part-time job stress,5,22,Yes,4
Yes,10,4,financial stress,6,12,No,3
No,12,15,none,8,0,Yes,1
Yes,20,10,heavy workload,5,18,Yes,4
Yes,16,12,relationship stress,6,14,Yes,3
No,25,20,academic pressure,5,0,Yes,5
Yes,14,6,none,7,10,No,2
No,12,8,homesickness,8,0,Yes,1
Yes,18,10,family issues,5,24,Yes,4
Yes,22,15,financial stress,4,30,No,5
No,10,5,none,9,0,Yes,1
Yes,15,8,health problems,5,20,Yes,4
No,18,12,relationship stress,7,0,No,2
Yes,16,9,financial stress,6,15,Yes,3
Yes,20,14,academic pressure,5,22,No,5
No,12,6,none,8,0,Yes,1
Yes,14,10,homesickness,7,12,Yes,2
Yes,18,8,part-time job stress,6,20,Yes,3
No,20,16,academic pressure,5,0,Yes,5
Yes,22,12,family issues,4,28,No,5
No,15,7,none,8,0,Yes,2
Yes,12,5,relationship stress,7,10,Yes,2
Yes,18,11,financial stress,5,22,Yes,4
No,14,9,homesickness,8,0,No,2
Yes,16,13,heavy workload,6,18,Yes,4
Yes,20,15,health problems,4,25,Yes,5
No,22,10,none,7,0,Yes,2
Yes,15,8,family issues,5,20,No,3
No,18,12,academic pressure,6,0,Yes,3
Yes,14,9,relationship stress,7,12,Yes,3
Yes,12,7,financial stress,6,15,No,3
No,16,10,none,8,0,Yes,2
Yes,20,12,health problems,5,22,Yes,4
Yes,18,14,academic pressure,4,25,Yes,5
No,10,5,homesickness,9,0,Yes,1
Yes,22,15,financial stress,5,28,No,5
Yes,15,9,family issues,6,20,Yes,3
No,12,8,none,8,0,Yes,1
